State,Total_fossil_fuel,Total_Biomass,Total_Renewable_Energy,lat,long
Alabama,1667.6,193.4,298.4,32.318231,-86.902298
Alaska,584.8,8.2,25,63.588753,-154.493062
Arizona,1271.6,38.9,178.5,34.048928,-111.093731
Arkansas,1001,93.5,123.8,35.20105,-91.831833
California,5753.5,296.9,1154.5,36.778261,-119.417932
Colorado,1305.1,43.2,164.6,39.550051,-105.782067
Connecticut,602.7,38.7,50.4,41.603221,-73.087749
Delaware,213.1,6.1,8,38.910832,-75.52767
Florida,3526.9,251.8,317.5,27.664827,-81.515754
Georgia,1975.8,247.5,302.4,32.157435,-82.907123
Hawaii,261.8,10.7,31.1,19.898682,-155.665857
Idaho,299.4,46.7,178.9,44.068202,-114.742041
Illinois,3060.6,170.3,284.7,40.633125,-89.398528
Indiana,2617.2,126,185.9,40.551217,-85.602364
Iowa,1170.5,258.1,463.4,41.878003,-93.097702
Kansas,894.6,46.6,220.3,39.011902,-98.484246
Kentucky,1616.5,58.4,102.1,37.839333,-84.270018
Louisiana,3895.5,140.2,155,31.244823,-92.145024
Maine,224.1,108.2,160.4,45.253783,-69.445469
Maryland,885.7,47.4,90.4,39.045755,-76.641271
Massachusetts,1014.2,63.8,105.2,42.407211,-71.382437
Michigan,2394.3,179,250.4,44.314844,-85.602364
Minnesota,1358.6,183.5,302.2,46.729553,-94.6859
Mississippi,1116.6,72.8,76.8,32.354668,-89.398528
Missouri,1608.7,71.8,108.5,37.964253,-91.831833
Montana,415.8,22.8,147.1,46.879682,-110.362566
Nebraska,702.8,128.8,193.5,41.492537,-99.901813
Nevada,605.6,15.7,117.3,38.80261,-116.419389
New Hampshire,214.4,45,62.1,43.193852,-71.572395
New Jersey,1751.4,57.7,86.9,40.058324,-74.405661
New Mexico,677.4,23.1,95.2,34.97273,-105.032363
New York,2739.3,165.2,490.3,43.299428,-74.217933
North Carolina,1762.8,149.3,273.2,35.759573,-79.0193
North Dakota,727.6,32.9,160.5,47.551493,-101.002012
Ohio,3040.2,134.2,158.6,40.417287,-82.907123
Oklahoma,1544.5,49.8,317.9,35.007752,-97.092877
Oregon,621.1,95,496.8,43.804133,-120.554201
Pennsylvania,3360.4,172.6,251.2,41.203322,-77.194525
Rhode Island,189.2,7.3,10,41.580095,-71.477429
South Carolina,1071.4,128.5,163.5,33.836081,-81.163725
South Dakota,237.6,64.8,149.5,43.969515,-99.901813
Tennessee,1374.8,109.3,206,35.517491,-86.580447
Texas,12752.2,270.8,1009,31.968599,-99.901813
Utah,830,16.9,61.3,39.32098,-111.093731
Vermont,90.6,27,44.2,44.558803,-72.577841
Virginia,1592.6,155.5,181.5,37.431573,-78.656894
Washington,1197.2,145.9,956.8,47.751074,-120.740139
West Virginia,1103.2,20.6,53.7,38.597626,-80.454903
Wisconsin,1470.4,161,199.6,43.78444,-88.787868
Wyoming,793.2,8.4,54.9,43.075968,-107.290284
